no,cex,chain,nama_token,ticker,sc,decimals,feeWD,trade,deposit,withdraw,price
1,BINANCE,base,Chainbase,C,0xba12bc7b210e61e5d3110b997a63ea216e0e18f7,18,1,ON,true,true,0.223
2,BINANCE,base,Bio Protocol,BIO,0x226a2fa2556c48245e57cd1cba4c6c9e67077dd2,18,1.54,ON,true,true,0.1386
3,BINANCE,base,Maverick Protocol,MAV,0x64b88c73a5dfa78d1713fe1b4c69a22d7e0faaa7,18,2.82,ON,true,true,0.07656
4,BINANCE,base,aixbt by Virtuals,AIXBT,0x4f9fd6be4a90f2620860d680c0d4d5fb53d1a825,18,2.13,ON,true,true,0.1026
5,BINANCE,base,Hyperlane,HYPER,0xc9d23ed2adb0f551369946bd377f8644ce1ca5c4,18,0.74,ON,true,true,0.293
6,BINANCE,base,Horizen,ZEN,0xf43eb8de897fbc7f2502483b2bef7bb9ea179229,18,0.031,ON,true,true,7.022
7,BINANCE,base,Space and Time,SXT,0xa2c22252cdc8b7cddee1b0b2e242818509fcf7b8,18,2.93,ON,true,true,0.0742
8,BINANCE,base,USDC,USDC,0x833589fcd6edb6e08f4c7c32d4f71b54bda02913,6,0.45,ON,true,true,0.9998
9,BINANCE,base,LayerZero,ZRO,0x6985884c4392d348587b19cb9eaaf157f13271cd,18,0.12,ON,true,true,1.823
10,BINANCE,base,Virtuals Protocol,VIRTUAL,0x0b3e328455c4059eeb9e3f84b5543f74e24e7e1b,18,0.2,ON,true,true,1.0871
11,BINANCE,base,GoPlus Security,GPS,0x0c1dc73159e30c4b06170f2593d3118968a0dca5,18,22,ON,true,true,0.0101
12,BINANCE,base,Towns Protocol,TOWNS,0x00000000a22c618fd6b4d7e9a335c4b96b189a38,18,9.18,ON,true,true,0.02321
13,BINANCE,base,Somnia,SOMI,0x47636b3188774a3e7273d85a537b9ba4ee7b2535,18,0.4,ON,true,false,0.5563
14,BINANCE,base,Defi App,HOME,0x4bfaa776991e85e5f8b1255461cbbd216cfc714f,18,5.86,ON,true,true,0.0371
15,BINANCE,base,Ethereum,ETH,,,0.00002,ON,true,true,4339.34
16,BINANCE,base,Sign,SIGN,0x868fced65edbf0056c4163515dd840e9f287a4c3,18,3.02,ON,true,true,0.07207
17,BINANCE,base,Particle Network,PARTI,0x59264f02d301281f3393e1385c0aefd446eb0f00,18,1.09,ON,true,true,0.2029
18,BINANCE,base,AWE Network,AWE,0x1b4617734c43f6159f3a70b7e06d883647512778,18,4.14,ON,true,true,0.05189
19,BINANCE,base,Axelar,AXL,0x23ee2343b892b1bb63503a4fabc840e0e2c6810f,6,0.74,ON,true,true,0.3061
20,BINANCE,base,Maple Finance,SYRUP,0x688aee022aa544f150678b8e5720b6b96a9e9a2f,18,0.44,ON,true,true,0.498
21,BINANCE,base,Kaito,KAITO,0x98d0baa52b2d063e780de12f615f963fe8537553,18,0.22,ON,true,true,0.9867
22,BINANCE,base,Radiant Capital,RDNT,0xd722e55c1d9d9fa0021a5215cbb904b92b3dc5d4,18,10,ON,true,true,0.02028
23,MEXC,base,Bitgreen,BBB,0xc7b7a8DA6fD290Dd945cE104AFf976C7665F6a5E,18,0,OFF,false,true,
24,MEXC,base,SkyNity,SDT,0x04bc5918a08A526653E83420044B1a26FF34863B,18,5,OFF,true,true,
25,MEXC,base,Squadverse,SDV,0xc7E176205f2D81060Df16a2730b9d5B056d2b562,18,15,ON,true,true,1.9e-11
26,MEXC,base,Block Chain People,BCP,0x87c211144b1D9bDAA5A791B8099EA4123dC31D21,18,0,OFF,false,true,
27,MEXC,base,Chainbase,C,0xba12BC7B210E61e5D3110B997A63Ea216e0E18F7,18,2,ON,true,true,0.22298
28,MEXC,base,Prompt,PROMPT,0x30c7235866872213F68cb1F08c37Cb9eCCB93452,18,1,ON,true,true,0.1765
29,MEXC,base,Zygo The Frog,ZYGO,0xAF4C1405aA8aB2A4f267a9700F9230ddC592F63F,18,200,ON,true,true,0.004212
30,MEXC,base,BEE,BEE,0x1f1bA52c445755C92caFFe7B608B87dCDAf9d825,18,0,OFF,false,true,
31,MEXC,base,Ski Mask Cat,SKICAT,0xA6f774051dFb6b54869227fDA2DF9cb46f296c09,18,0,OFF,false,true,
32,MEXC,base,SKI MASK DOG,SKI,0x768BE13e1680b5ebE0024C42c896E3dB59ec0149,9,0.5,ON,true,true,0.04325
33,MEXC,base,DYOR,DYOR,0xa001dCC9A7974DAE133A11D2800A7ABf7b8f5F3C,18,0,OFF,false,true,
34,MEXC,base,AI INU,AIINU,0x8853F0c059C27527d33D02378E5E4F6d5afB574a,18,0,OFF,false,true,
35,MEXC,base,TaskBunny,BNY,0x6009e7CD237087e6d7570990e8bDac09C3E182B0,18,7,OFF,true,true,
36,MEXC,base,Sapiens AI,SPN,0x035098c2A3bEa5e03b1E08e7140a5369D47Bd349,18,0,OFF,false,true,
37,MEXC,base,Penjamin Blinkerton,PENJAMIN,0xd7D919Ea0c33A97ad6e7BD4F510498e2ec98Cb78,18,0,OFF,false,true,
38,MEXC,base,BSA Project,BSA,0xf0333061d8Ff799f6CEDb748E06a2c9db9ffc20a,18,0,OFF,false,true,
