no,cex,chain,nama_token,ticker,sc,decimals,feeWD,trade,deposit,withdraw,price
1,BINANCE,bsc,NEAR Protocol,NEAR,0x1fa4a73a3f0133f0025378af00236f3abdee5d63,18,0.011,ON,true,true,2.394
2,BINANCE,bsc,Travala.com,AVAOLD,0x13616f44ba82d63c8c0dc3ff843d36a8ec1c05a9,18,1.09,OFF,false,false,
3,BINANCE,bsc,Bitcoin Cash,BCH,0x8ff795a6f4d97e7887c79bea79aba5cc76444adf,18,0.000043,ON,true,true,593.4
4,BINANCE,bsc,Sleepless AI,AI,0xbda011d7f8ec00f66c1923b049b94c67d148d8b2,18,0.21,ON,true,true,0.1209
5,BINANCE,bsc,JUST,JST,0xea998d307aca04d4f0a3b3036aba84ae2e409c0a,18,0.76,ON,true,true,0.03408
6,BINANCE,bsc,Chainbase,C,0xc32cc70741c3a8433dcbcb5ade071c299b55ffc8,18,0.12,ON,true,true,0.2226
7,BINANCE,bsc,Dar Open Network,D,0x8fb238058e71f828f505582e65b1d14f8cf52067,6,0.81,ON,true,true,0.0316
8,BINANCE,bsc,Gravity,G,0x9c7beba8f6ef6643abd725e45a4e8387ef260649,18,2.28,ON,true,true,0.01125
9,BINANCE,bsc,SafePal,SFP,0xd41fdb03ba84762dd66a0af1a6c8540ff1ba5dfb,18,0.056,ON,true,true,0.4584
10,BINANCE,bsc,DIA,DIA,0x99956d38059cf7beda96ec91aa7bb2477e0901dd,18,0.036,ON,true,true,0.7193
11,BINANCE,bsc,Bella Protocol,BEL,0x8443f091997f06a61670b735ed92734f5628692f,18,0.11,ON,true,true,0.2373
12,BINANCE,bsc,Juventus Fan Token,JUV,0xc40c9a843e1c6d01b7578284a9028854f6683b1b,2,0,ON,true,false,1.137
13,BINANCE,bsc,WOO,WOO,0x4691937a7508860f876c9c0a2a617e7d9e945d4b,18,0.38,ON,true,true,0.0669
14,BINANCE,bsc,1M x BABYDOGE,1MBABYDOGE,0xc748673057861a797275cd8a068abb95a902e8de,9,22,ON,true,true,0.0011551
15,BINANCE,bsc,dForce,DF,0x4a9a2b2b04549c3927dd2c9668a5ef3fca473623,18,0.95,ON,true,true,0.02684
16,BINANCE,bsc,Waves,WAVES,0xfc3e14af0f0c2129a84cc013d48c70d682902874,18,0.023,ON,true,false,1.076
